factor_0,factor_1,factor_2,factor_3,factor_4,factor_5,factor_6,factor_7,factor_8,factor_9,CUST_CODE
-0.0021333303,0.027471177,0.04512345,0.0053661936,-0.0076532587,0.017193241,0.041852877,0.029871676,0.028446086,0.032411065,CUST0000021723
-0.0064462246,0.015419711,-0.0009507263,0.008952906,0.0015971157,-0.0002346892,0.014933164,0.014202028,0.010671272,0.013028918,CUST0000022234
0.1730281,0.09909117,-0.048481315,0.092329815,0.021477388,0.16006139,-0.03966341,0.09065575,-0.019469177,0.034375016,CUST0000022316
0.022713399,0.024888225,0.014716841,0.021944603,0.006664892,0.02417532,0.0045214035,0.025461446,0.020723073,0.01710046,CUST0000022415
0.01648875,0.040820494,0.033768184,0.008949424,0.05613666,-0.005141122,0.03267918,0.025699133,0.014707205,0.009581208,CUST0000022814
0.0037862912,0.003251793,0.008323071,0.0009882777,0.0043611717,-0.0007726983,0.010872007,-0.0028548073,0.011144196,0.010383453,CUST0000023291
-0.0003306088,0.0016539206,0.0012540839,-5.7672503e-05,-4.008614e-05,4.360733e-05,0.0010174026,0.0009173983,0.0018774045,0.0011228428,CUST0000023371
0.013880998,0.06729889,-0.03870755,0.03742166,0.06047466,0.017941369,0.0693782,0.058976445,0.034751825,0.04343939,CUST0000023406
0.0077543384,0.05252578,0.13392815,0.0040165926,0.09992452,0.003182913,0.13553157,0.04978968,0.14188431,0.16150333,CUST0000023618
-0.00031492926,0.00091373624,0.0015298085,-3.2510296e-05,0.000388682,0.0006593748,0.00059725187,0.00044985395,0.00047901217,0.00051838934,CUST0000023729
-0.0005578373,0.0017059931,-0.0023399782,0.0020323382,-0.00029545373,-7.1979935e-05,-0.0009126391,0.0015987775,0.0019689724,0.001356895,CUST0000023874
0.0020486447,0.0017902359,0.0011283904,0.0006356562,-0.00046655338,0.0024788012,0.0010561488,0.0008440978,0.0004565209,0.00072772894,CUST0000023876
-4.6793622e-05,0.0003023793,0.000116995456,0.00040964808,0.00022675547,0.0002038188,-4.244647e-05,0.00030466804,0.00017382753,0.00074122194,CUST0000024551
-0.00024890428,0.007433291,0.014034852,-0.0052177613,0.0028941657,0.009313198,0.0034432828,0.0024483958,0.0034516102,0.007981401,CUST0000024653
-6.379554e-05,0.00023552915,-6.5125874e-05,0.0001656241,-0.0001184558,1.44797095e-05,-3.5540055e-05,-0.0002736354,0.00015546953,0.00027957105,CUST0000024790
0.009770419,0.0106261335,0.0037800018,-0.0017826759,-0.007881878,-0.007308945,0.003993152,0.0043109218,0.030258136,-0.0032044235,CUST0000024896
0.037193194,0.016289806,-0.00886039,0.0370736,0.017912976,0.0007955786,0.021413773,0.012813484,0.022893604,-0.016528714,CUST0000025217
0.0005496097,0.0015034638,-0.0006550698,0.00214095,0.00087771204,0.00047017066,0.0024116992,0.0010880209,0.0019689514,0.00015440046,CUST0000025292
0.27947095,0.12596747,-0.10164995,0.1636187,0.2274271,0.104291,-0.019575855,0.28117013,0.10782751,0.13587132,CUST0000025448
-0.0004568504,0.0036986123,0.011308372,-0.0024538836,-0.0014054468,0.0073241503,0.0039805425,0.0018398059,0.002567568,0.004789841,CUST0000025657
0.011256868,0.0023101682,0.005104922,0.003983874,0.008932283,0.004512459,0.008089195,0.0069110915,0.0065949066,0.0016269472,CUST0000025682
0.0015431812,0.0024386542,0.00811544,0.0062736925,0.010150855,-0.007587269,0.008282969,0.007989743,0.0048853094,0.008092487,CUST0000025691
0.0017393585,0.001309276,0.00036445764,0.00046486143,-0.0008726098,0.001881788,0.0006004557,-0.00011726359,0.00063570944,0.0011026605,CUST0000026426
0.046251193,0.05847306,-0.024114922,0.074684404,0.05945521,0.0748361,-0.029514046,0.004642157,0.035314724,0.04805871,CUST0000026547
0.012239222,0.017743539,0.052140296,0.003450711,0.029457584,0.025139268,0.04848548,0.018803047,0.038891286,0.021404656,CUST0000026732
0.00092742,0.005766679,0.01646889,0.00042022136,0.0011722055,0.00552225,0.0109168915,0.0077972356,0.0070852176,0.010669183,CUST0000026911
0.06210664,0.08262419,0.0035219393,0.06847559,0.025869533,0.08094187,0.0015888029,0.034160636,-0.011732915,0.032646988,CUST0000027188
0.0013806457,0.00070795976,0.0010560912,-0.00017640754,-0.0013062877,0.0021134508,0.00088178006,-0.0011168504,0.003246459,0.0015906785,CUST0000027371
0.042124987,0.10906133,0.24208905,-0.022916317,0.117827184,0.09567713,0.2651359,0.10899173,0.16136336,0.17307109,CUST0000027873
0.11511777,0.13109599,0.113692194,0.07909283,0.13902186,0.110480845,0.11178506,0.17202377,0.11145319,0.09369872,CUST0000028109
0.00042404138,0.0005918482,0.0013481027,0.0005295151,0.00043013014,0.0007983845,0.00038535142,0.0012636487,0.0004968677,0.0014124407,CUST0000028257
0.040118694,0.04393324,0.044652246,0.06599836,-0.010875941,0.032166958,0.023674993,0.029166598,0.007014153,0.0042415103,CUST0000028627
0.058539797,0.08149006,0.14329204,0.04973622,-0.024224697,0.100447804,0.0552614,0.028753823,0.05528697,0.072145335,CUST0000029009
0.0008296238,0.001557003,0.019296529,0.020982854,-0.0017348084,0.029655997,0.012234465,0.009284242,0.0074072517,0.016167434,CUST0000029233
0.0006918275,0.00057139026,-0.0013677238,2.1446274e-05,0.00014516502,0.00059614086,0.00076682545,-0.00031320626,0.0010121369,3.9845404e-06,CUST0000029326
-0.013317147,0.17337817,0.16025144,0.03858388,0.30395165,-0.17678928,0.08065233,0.11564831,0.22119969,0.02921944,CUST0000029392
0.018011637,0.10789366,0.07905852,0.31341937,0.31082404,0.024120998,0.22359203,0.122906335,0.08529152,0.22920062,CUST0000029587
0.014720653,0.044430993,0.14283724,0.011846015,0.07035245,0.048824936,0.0700855,0.07433153,0.06892853,0.06984291,CUST0000029729
9.864336e-05,0.0013398054,0.0001405964,0.0010018636,-9.29202e-05,7.797421e-05,0.00094620656,0.00035219398,0.0015424596,0.00049569184,CUST0000029952
-0.005192867,0.0037079458,0.024700582,-0.0058480287,0.01410793,0.008758257,0.0068468773,0.008701196,0.015119631,0.014171877,CUST0000030374
0.15675886,0.11831359,0.12280757,0.13378713,0.028163673,0.28805643,0.08833526,0.11338484,-0.0025682412,0.0868402,CUST0000030521
0.1723022,0.031351797,0.3424143,-0.004241566,-0.19485648,0.3315866,0.06440087,-0.022067048,0.28436247,0.27787334,CUST0000030585
0.05338352,-0.0053666923,0.07923769,0.3320168,0.21997142,0.0858538,0.04932289,0.11310672,0.24276409,0.10954166,CUST0000031428
0.0038227455,0.0038239409,0.0034439617,0.0016018511,-0.0026357723,0.0075959736,-0.0021874506,0.001590099,-0.004118527,0.004654879,CUST0000031564
0.0015674657,0.0014294458,0.0015820636,0.00067738385,0.0006453735,-0.00026729048,0.0017689602,0.0025503922,-0.0007158554,-0.0004989461,CUST0000031996
0.009484076,0.010147038,0.014617231,0.02420377,0.03613528,0.010314247,0.025024902,0.015699856,0.009602273,0.02064454,CUST0000032568
0.0004251477,0.0049533537,0.0022389046,0.0014744863,0.002705922,0.005014512,0.0041657723,0.0035855866,0.003848901,0.0011211928,CUST0000032697
0.05112181,0.17657064,0.048500005,-0.05638587,0.20697972,-0.14191334,0.15557007,0.1373958,0.1060621,0.28169817,CUST0000032813
0.06971816,0.087873146,0.25838664,0.15551132,0.069401525,0.14322461,0.20373206,0.18347247,0.044330016,0.23831104,CUST0000033304
-0.0034045808,0.0017218464,0.012896229,0.002194139,0.003390362,0.009208205,0.007006743,0.0075713587,0.006475597,0.01058197,CUST0000033395
-5.6758574e-05,0.012495809,0.026486257,0.0005134103,0.008515436,0.016406719,0.014656825,0.003081052,0.004823331,0.014800657,CUST0000033514
0.23534329,0.105485216,-0.01767166,0.2372362,0.20196044,0.17343093,-0.02571701,0.080866374,0.09796275,-0.0021463505,CUST0000034023
0.033885866,0.038874328,0.02120602,0.030403722,-0.01765645,0.050426733,-0.017829994,0.012100306,-0.044366963,0.003021451,CUST0000034375
