factor_0,factor_1,factor_2,factor_3,factor_4,factor_5,factor_6,factor_7,factor_8,factor_9,PROD_CODE
0.0324126,0.054070894,0.049430903,0.007633339,0.029258797,0.019552002,0.046582952,0.12088463,0.0661274,0.016433138,PRD0901974
-0.00049527554,-0.0041113314,0.015410924,0.023484357,0.021837747,0.033572227,0.0027932606,0.0067216405,0.025936447,0.014479838,PRD0902311
0.07308531,-0.0137079265,0.17406702,0.1636063,0.061183307,0.11016593,0.09402324,0.080886625,0.15794218,0.004064105,PRD0902314
-0.0014795605,0.007595532,0.012217744,-0.001382921,0.015336178,-0.0007559192,0.008533074,0.00012395048,0.011311082,3.9215112e-05,PRD0902522
0.0799186,0.06491328,0.06057183,0.07578832,-0.03295862,0.16963066,0.060398582,0.011258285,0.15454403,0.14203432,PRD0902643
0.008889272,0.106619455,0.055975314,0.17525098,-0.044096544,0.0075537646,0.18547828,0.018425805,-0.05938249,-0.010657017,PRD0902686
-0.0010980887,0.007976875,0.0016050478,0.0020186924,0.009084488,0.0003421261,0.011278612,0.0056421845,0.009119053,0.014126396,PRD0902724
0.077461295,0.028359586,0.005905034,0.004478823,0.006861237,0.036791015,0.014962911,0.02810147,0.029424155,0.02698941,PRD0902840
0.009879852,0.09443386,0.08358686,0.07796989,0.01373098,0.020952238,0.050398562,-0.033575762,0.032715287,0.12143312,PRD0902846
0.0332247,0.17868923,0.14436144,0.17396984,0.26176998,-0.003129157,0.20643108,0.051552065,0.0979354,0.08318735,PRD0903187
0.008893822,0.017191747,0.032567702,0.041250158,0.05795838,0.003298254,0.1087743,0.025676671,0.008822909,-0.0040048566,PRD0903190
0.021063391,0.008394269,0.045501526,0.07386155,0.040045757,-0.01196989,0.025181247,0.05262306,0.09847714,0.04307759,PRD0903250
-0.006045952,0.0028578825,0.009301132,0.000412124,0.008852217,0.0029226232,0.005518058,0.0040312707,0.009424894,0.0038327798,PRD0903348
0.10020299,0.059208833,0.041170575,0.082704976,-0.003915633,0.022200875,0.041201353,0.048233505,0.0043955664,0.015248548,PRD0903362
0.012873222,0.031660277,0.047703914,0.04209727,-0.0072475,0.056899484,-0.006096129,0.022276446,0.017013334,0.0471689,PRD0903472
-0.0027810705,0.020673217,0.053738948,-0.013846011,0.045626044,-0.022079319,0.0521562,0.019368099,0.05510992,0.034646537,PRD0903497
0.19523758,0.17545067,0.046618678,0.13178103,0.02171989,0.14750993,0.04346267,0.1556046,-0.08176604,0.05047712,PRD0903542
-0.0044699037,0.016233241,0.04805547,0.0144782355,-0.010055128,0.03666496,0.034735173,0.00493693,0.039712165,0.012911761,PRD0903611
0.15053387,-0.031217376,0.056740634,0.065113455,-0.037609812,0.109228596,0.050289143,0.06974204,0.092000194,0.1529859,PRD0903757
0.09116171,-0.053474657,0.03133987,0.0026695412,0.09503462,0.1125751,0.081613734,-0.081300825,0.0004905585,0.034704972,PRD0903778
-0.034484766,0.13699134,0.10132624,0.055667773,0.19303031,-0.04048092,0.010986185,-0.12133878,0.07433738,0.055070903,PRD0903876
0.00015177728,0.00029547853,0.0011706678,-0.0003412549,0.00038513629,-0.0006901384,0.00094277086,0.0005351311,0.0014609717,0.0014259295,PRD0903879
0.1632852,0.12605323,0.055366702,0.070451856,-0.012996136,0.037363116,0.058209304,0.07010862,0.033116866,-0.071823284,PRD0904004
0.010831871,0.0039865253,-0.012705451,0.018423581,0.03142686,0.0049553397,0.019151755,0.009358821,-0.0033945558,-0.005657397,PRD0904044
0.021977901,0.0057383403,0.019194929,0.051792983,0.025301743,0.011389137,0.0054289624,0.058059745,0.044905555,0.018267423,PRD0904250
-0.0065978933,0.005055413,0.013302359,0.020884797,0.030968493,0.025543632,0.018057952,0.016358579,0.015718918,-0.0023345044,PRD0904252
0.012659865,0.031442653,0.05542468,-0.011194812,0.040969815,0.010681068,0.03600141,-0.004584427,-0.013359304,0.035853602,PRD0904270
-0.002296971,0.02830424,0.046777073,-0.007787281,0.062271863,-0.02662735,0.030452427,0.04066749,0.04541423,0.0024377233,PRD0904358
-0.0030015365,0.086937115,0.15636168,-0.083018154,0.08193708,0.03445744,0.057960503,-0.030972667,0.0027074094,0.07879404,PRD0904490
0.032191657,0.017537484,-0.009059234,0.0634495,-0.020641385,0.04850797,0.035434354,-0.06747679,0.022504456,0.0365514,PRD0904695
0.08152933,0.003880029,-0.015935438,0.059297387,0.051191024,0.117368214,-0.05835773,0.052241255,0.051845063,0.086748205,PRD0904774
0.08101928,0.04591254,0.04768269,0.0022563005,0.005092556,0.07192971,0.0036567394,0.10447836,0.07238411,0.13427152,PRD0904791
0.056155957,0.13732278,0.016529527,0.096740395,0.1601887,-0.048818152,-0.029998135,0.059469942,0.046765927,0.05326249,PRD0904892
0.008134061,0.054966547,0.0652238,0.058048338,-0.0066135577,0.028807716,0.061922908,-0.0022932983,0.033942603,0.037910208,PRD0904918
0.10865996,0.04858675,-0.014479798,0.019689275,0.07639325,0.06436577,0.053043623,0.06950646,0.054296747,0.03292191,PRD0904920
0.037646946,0.014407519,0.06868905,0.04215668,0.062432263,0.06748326,0.058212508,0.10044366,0.049996696,0.08636229,PRD0904945
0.040588014,0.046435416,0.04668169,0.008283793,-0.004074182,0.015934998,0.014843318,0.022402454,0.00985357,-0.0051698824,PRD0904976
0.004559982,0.038283613,0.015689004,0.022658894,0.038652394,-0.009330935,0.05630828,0.030119713,-0.0023726642,0.028885966,PRD0900015
0.03417538,0.029747814,0.06605673,-0.014887347,0.038497712,0.0241204,0.054280855,-0.006718802,0.07532466,0.023424538,PRD0900018
0.10269387,0.07722664,0.011366736,0.10944184,0.0180187,0.124986365,-0.046221603,0.0022793482,0.0025245645,0.033039387,PRD0900146
0.047707636,0.2561291,0.097877994,-0.06224235,0.2287429,0.012474739,-0.014910404,0.008765608,0.14239356,-0.011791541,PRD0900159
0.089633934,0.0704646,-0.016658977,0.09989536,0.094149135,-0.039851345,0.049084898,0.049965292,0.082710676,0.003445916,PRD0900166
0.0042618536,0.036408667,0.04800901,0.039752517,-0.032873973,0.038640667,-0.04117578,0.018457957,0.0024939522,0.061542265,PRD0900202
-0.00020589906,0.018579407,0.044690453,0.008222355,0.050354306,-0.0054091024,0.0731312,0.024761656,0.05673582,0.04899483,PRD0900385
0.072542004,0.045245774,0.064218074,-0.029865656,0.07519555,-0.033141136,0.090484515,0.026651427,-0.07577966,0.06321252,PRD0900390
0.07291966,0.010040259,-0.013337479,0.033315845,0.066306576,0.06250023,-0.057908904,0.018302856,0.011940181,-0.027632844,PRD0900469
0.034138657,0.021296026,-0.02155338,0.026356291,0.033206116,0.07895174,0.006392729,0.04421893,0.029657308,0.06750878,PRD0900691
0.1506498,0.15131463,0.24406444,0.06858793,0.18109724,-0.15377624,0.19053063,0.08005161,-0.06418867,0.1482481,PRD0901256
0.27138114,0.20685393,0.34040448,0.076212876,0.22547911,0.277953,0.035512343,0.15815648,-0.013194762,0.117478035,PRD0901335
0.0562998,0.042303845,0.02737512,-0.0057342877,0.05703709,-0.016526807,0.08521195,0.06961146,0.08573621,0.08271203,PRD0901743
0.028114166,0.033121012,0.02132276,0.020274075,0.056829758,-0.019795772,0.065064,0.015701544,-0.029693587,0.060488813,PRD0901894
0.008852936,0.029661998,-0.0053602406,0.062242452,0.073171854,0.024061888,0.050751567,0.018994818,-0.010259947,1.1259991e-05,PRD0902242
0.013174083,-0.019826153,0.05800786,0.035991885,0.058864865,-0.015960352,0.11674304,0.05951209,0.07714524,0.04117726,PRD0902283
0.13363656,0.10499981,0.22608903,-0.01602436,0.07700429,-0.015279371,0.100870185,0.10097304,0.034961034,0.05254505,PRD0902700
0.0028516687,0.027730292,0.034038514,-0.024578728,0.0029410422,0.006658061,0.031590924,-0.002414371,0.05338461,0.047430553,PRD0903063
0.07485111,0.029395761,0.0066715395,0.0003701058,-0.020021632,0.0501428,0.051138353,0.0131278895,0.067343414,0.07771571,PRD0903524
0.07398699,0.024466367,0.05326718,0.039288577,-0.021002546,0.098264,0.059939507,0.04661577,0.043632336,0.10663499,PRD0903810
-0.035740975,0.058889654,0.015617253,0.04334848,0.073850945,0.15070087,0.11890443,0.058680557,0.09346358,0.0018806087,PRD0903819
0.07105798,0.060976032,-0.06652457,0.046980705,-0.025734322,0.122652374,0.012158826,0.09987409,0.1636347,0.10508179,PRD0903966
0.050016154,0.031296432,0.01692783,-0.0015530682,0.007617284,0.04132976,0.05695125,0.0017542677,0.022329263,0.020419318,PRD0904079
0.010689413,0.018382983,0.012050536,-0.004502699,0.026483756,-0.007783156,0.020544825,0.010809266,0.0127888005,-0.0031868767,PRD0904498
-0.011043012,0.09451013,-0.09059539,-0.041133586,0.058062762,0.03366907,0.012788264,0.12152446,0.0765859,0.07780333,PRD0904690
0.13394707,0.052311964,0.11254685,0.07134668,0.07325185,0.07528833,0.002736672,0.09921481,0.058090482,0.028832985,PRD0904836
0.06291698,0.051912215,0.024326432,0.07950679,0.019944986,0.10109469,-0.021870768,0.05182171,-0.022348225,0.00044801747,PRD0904878
0.010662754,0.021526303,0.032200772,-0.006971194,0.00812276,0.018538443,0.0076715555,0.014425313,0.008284406,0.010651835,PRD0904980
-0.024470106,0.068890244,0.13788651,-0.026729545,-0.008812354,0.11342735,0.06363263,0.026561998,0.042288993,0.047692593,PRD0902540
0.075628415,0.05165034,0.01516968,0.0007386582,0.1035016,-0.02159493,0.086120695,0.054599144,-0.0017631561,-0.0050570657,PRD0903816
-0.034311622,-0.046364475,0.11932779,0.084580556,0.06714474,-0.03257439,0.06395687,0.12392103,0.028381007,-0.018325122,PRD0904887
0.030391982,0.05995285,0.08692774,0.04302855,0.051513042,0.010459512,0.055688977,0.036343865,-0.040207304,0.014783556,PRD0902029
0.16839026,0.1479467,0.1446562,0.12795562,-0.015773194,0.12671766,-0.058708634,0.080760695,-0.035785113,0.15517901,PRD0904719
0.03640058,0.0018035265,-0.005911858,0.055473793,0.032908324,0.03033974,0.00034925173,0.019997511,0.04265782,0.06494309,PRD0900748
0.11052765,0.044345994,0.053664863,0.052566342,0.030024162,0.055567216,0.056486804,0.0038369717,0.050792538,0.038732387,PRD0900633
-0.004878136,0.0237648,0.021422414,0.01095546,0.038780108,-0.019473355,0.005374851,0.020897241,0.030177062,0.00029867684,PRD0900929
0.036100503,-0.0007859049,-0.0015335608,0.055676974,0.04961591,-0.01788473,0.05085675,0.045825686,0.031520538,0.03135399,PRD0901622
0.26865998,0.11093446,0.15094794,-0.13218002,0.16180527,-0.0027232396,0.36661106,0.2797939,0.18703274,0.22821327,PRD0903496
0.10952668,0.026855279,0.06991981,0.06829086,0.21966366,0.18621103,0.09872181,-0.018813562,0.040918242,0.063790075,PRD0903867
0.02879311,0.0055638365,0.015478991,0.011451084,-0.0013115541,0.03553551,0.02398185,-0.0054031992,0.018875604,0.041064017,PRD0900053
-0.015771028,0.07011554,0.07373925,-0.059508156,0.11991523,-0.009935501,0.025257327,-0.047036875,0.0639671,0.018265449,PRD0900096
0.06308867,0.0876541,0.024566839,0.042478852,0.074338935,0.012157076,0.046462107,0.012405003,0.09691804,0.033499144,PRD0900149
0.106928185,0.08902355,-0.005045735,0.09335462,0.008769669,0.07843878,0.051669307,0.0900768,0.05910808,0.08585775,PRD0900283
